 frequency         mag               pha              
 1.0000000000e+00  2.8015712735e+03  1.7998334959e+02 
 1.1220184543e+00  2.8015712429e+03  1.7998131793e+02 
 1.2589254118e+00  2.8015712043e+03  1.7997903838e+02 
 1.4125375446e+00  2.8015711558e+03  1.7997648067e+02 
 1.5848931925e+00  2.8015710947e+03  1.7997361088e+02 
 1.7782794100e+00  2.8015710178e+03  1.7997039092e+02 
 1.9952623150e+00  2.8015709209e+03  1.7996677807e+02 
 2.2387211386e+00  2.8015707990e+03  1.7996272438e+02 
 2.5118864315e+00  2.8015706456e+03  1.7995817607e+02 
 2.8183829313e+00  2.8015704523e+03  1.7995307278e+02 
 3.1622776602e+00  2.8015702091e+03  1.7994734680e+02 
 3.5481338923e+00  2.8015699029e+03  1.7994092214e+02 
 3.9810717055e+00  2.8015695174e+03  1.7993371356e+02 
 4.4668359215e+00  2.8015690320e+03  1.7992562539e+02 
 5.0118723363e+00  2.8015684210e+03  1.7991655033e+02 
 5.6234132519e+00  2.8015676518e+03  1.7990636795e+02 
 6.3095734448e+00  2.8015666834e+03  1.7989494314e+02 
 7.0794578438e+00  2.8015654643e+03  1.7988212429e+02 
 7.9432823472e+00  2.8015639296e+03  1.7986774133e+02 
 8.9125093813e+00  2.8015619975e+03  1.7985160340e+02 
 1.0000000000e+01  2.8015595650e+03  1.7983349637e+02 
 1.1220184543e+01  2.8015565028e+03  1.7981318000e+02 
 1.2589254118e+01  2.8015526477e+03  1.7979038470e+02 
 1.4125375446e+01  2.8015477945e+03  1.7976480804e+02 
 1.5848931925e+01  2.8015416847e+03  1.7973611066e+02 
 1.7782794100e+01  2.8015339929e+03  1.7970391183e+02 
 1.9952623150e+01  2.8015243096e+03  1.7966778438e+02 
 2.2387211386e+01  2.8015121192e+03  1.7962724902e+02 
 2.5118864315e+01  2.8014967727e+03  1.7958176805e+02 
 2.8183829313e+01  2.8014774529e+03  1.7953073819e+02 
 3.1622776602e+01  2.8014531313e+03  1.7947348264e+02 
 3.5481338923e+01  2.8014225130e+03  1.7940924211e+02 
 3.9810717055e+01  2.8013839684e+03  1.7933716482e+02 
 4.4668359215e+01  2.8013354459e+03  1.7925629528e+02 
 5.0118723363e+01  2.8012743632e+03  1.7916556171e+02 
 5.6234132519e+01  2.8011974704e+03  1.7906376198e+02 
 6.3095734448e+01  2.8011006770e+03  1.7894954786e+02 
 7.0794578438e+01  2.8009788357e+03  1.7882140749e+02 
 7.9432823472e+01  2.8008254691e+03  1.7867764572e+02 
 8.9125093813e+01  2.8006324278e+03  1.7851636226e+02 
 1.0000000000e+02  2.8003894601e+03  1.7833542736e+02 
 1.1220184543e+02  2.8000836716e+03  1.7813245474e+02 
 1.2589254118e+02  2.7996988492e+03  1.7790477175e+02 
 1.4125375446e+02  2.7992146120e+03  1.7764938634e+02 
 1.5848931925e+02  2.7986053506e+03  1.7736295086e+02 
 1.7782794100e+02  2.7978389013e+03  1.7704172254e+02 
 1.9952623150e+02  2.7968748937e+03  1.7668152080e+02 
 2.2387211386e+02  2.7956626956e+03  1.7627768142e+02 
 2.5118864315e+02  2.7941388674e+03  1.7582500843e+02 
 2.8183829313e+02  2.7922240198e+03  1.7531772428e+02 
 3.1622776602e+02  2.7898189579e+03  1.7474942009e+02 
 3.5481338923e+02  2.7867999827e+03  1.7411300815e+02 
 3.9810717055e+02  2.7830132175e+03  1.7340068025e+02 
