 frequency         mag               pha              
 1.0000000000e+00  2.4742084005e+03  1.7997382500e+02 
 1.1220184543e+00  2.4742083337e+03  1.7997063117e+02 
 1.2589254118e+00  2.4742082495e+03  1.7996704763e+02 
 1.4125375446e+00  2.4742081436e+03  1.7996302683e+02 
 1.5848931925e+00  2.4742080101e+03  1.7995851543e+02 
 1.7782794100e+00  2.4742078423e+03  1.7995345354e+02 
 1.9952623150e+00  2.4742076308e+03  1.7994777402e+02 
 2.2387211386e+00  2.4742073648e+03  1.7994140149e+02 
 2.5118864315e+00  2.4742070298e+03  1.7993425140e+02 
 2.8183829313e+00  2.4742066080e+03  1.7992622886e+02 
 3.1622776602e+00  2.4742060769e+03  1.7991722744e+02 
 3.5481338923e+00  2.4742054085e+03  1.7990712767e+02 
 3.9810717055e+00  2.4742045669e+03  1.7989579556e+02 
 4.4668359215e+00  2.4742035075e+03  1.7988308073e+02 
 5.0118723363e+00  2.4742021738e+03  1.7986881446e+02 
 5.6234132519e+00  2.4742004946e+03  1.7985280747e+02 
 6.3095734448e+00  2.4741983808e+03  1.7983484736e+02 
 7.0794578438e+00  2.4741957196e+03  1.7981469583e+02 
 7.9432823472e+00  2.4741923692e+03  1.7979208549e+02 
 8.9125093813e+00  2.4741881517e+03  1.7976671634e+02 
 1.0000000000e+01  2.4741828420e+03  1.7973825181e+02 
 1.1220184543e+01  2.4741761575e+03  1.7970631423e+02 
 1.2589254118e+01  2.4741677422e+03  1.7967047989e+02 
 1.4125375446e+01  2.4741571482e+03  1.7963027341e+02 
 1.5848931925e+01  2.4741438115e+03  1.7958516143e+02 
 1.7782794100e+01  2.4741270217e+03  1.7953454558e+02 
 1.9952623150e+01  2.4741058851e+03  1.7947775452e+02 
 2.2387211386e+01  2.4740792764e+03  1.7941403514e+02 
 2.5118864315e+01  2.4740457794e+03  1.7934254255e+02 
 2.8183829313e+01  2.4740036110e+03  1.7926232899e+02 
 3.1622776602e+01  2.4739505273e+03  1.7917233135e+02 
 3.5481338923e+01  2.4738837036e+03  1.7907135722e+02 
 3.9810717055e+01  2.4737995853e+03  1.7895806929e+02 
 4.4668359215e+01  2.4736936990e+03  1.7883096787e+02 
 5.0118723363e+01  2.4735604150e+03  1.7868837150e+02 
 5.6234132519e+01  2.4733926514e+03  1.7852839516e+02 
 6.3095734448e+01  2.4731814979e+03  1.7834892619e+02 
 7.0794578438e+01  2.4729157485e+03  1.7814759744e+02 
 7.9432823472e+01  2.4725813113e+03  1.7792175756e+02 
